,cell,X_coord,step,time,expression,alpha,k_s,p_s,delta,lambda,tau,run
932,cell_240,8,84,3.36,9.655014564404566e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
933,cell_296,9,84,3.36,9.655014564355978e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
934,cell_351,10,84,3.36,9.654988638064784e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
935,cell_000,0,85,3.4,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
936,cell_003,1,85,3.4,0.14304927187360397,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
937,cell_015,2,85,3.4,0.002005016724681225,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
938,cell_035,3,85,3.4,1.1011958914298397e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
939,cell_057,4,85,3.4,9.668570278756918e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
940,cell_086,5,85,3.4,9.66856999401687e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
941,cell_126,6,85,3.4,9.668569994016844e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
942,cell_181,7,85,3.4,9.668569994016844e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
943,cell_240,8,85,3.4,9.668569994016844e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
944,cell_296,9,85,3.4,9.66856999396667e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
945,cell_351,10,85,3.4,9.668543758256642e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
946,cell_000,0,86,3.44,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
947,cell_003,1,86,3.44,0.1436212923014478,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
948,cell_015,2,86,3.44,0.0020462421573769125,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
949,cell_035,3,86,3.44,1.1115123525453166e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
950,cell_057,4,86,3.44,9.68159318569555e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
951,cell_086,5,86,3.44,9.681592870394812e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
