,D_eff_n_c,data_fname,D_eff,p0,v0,replicate,f,t0,tmax,dt,n_t,a,k,J,L
151,19,p03.74_v01.40e-02_rep0.npy,0.07241212439780335,3.74,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
152,37,p03.74_v01.40e-02_rep0.npy,0.09824060359779672,3.74,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
153,7,p03.74_v01.80e-02_rep0.npy,0.0536769352577351,3.74,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
154,19,p03.74_v01.80e-02_rep0.npy,0.09583519932664476,3.74,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
155,37,p03.74_v01.80e-02_rep0.npy,0.10951438251836806,3.74,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
156,7,p03.74_v02.20e-02_rep0.npy,0.14136527195449705,3.74,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
157,19,p03.74_v02.20e-02_rep0.npy,0.11085665915623187,3.74,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
158,37,p03.74_v02.20e-02_rep0.npy,0.10866362693881204,3.74,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
159,7,p03.74_v01.00e-02_rep0.npy,0.07601406425237657,3.74,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
160,19,p03.74_v01.00e-02_rep0.npy,0.07983079552650454,3.74,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
161,37,p03.74_v01.00e-02_rep0.npy,0.08825597167015077,3.74,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
162,7,p03.74_v02.60e-02_rep0.npy,0.08369338582958699,3.74,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
163,19,p03.74_v02.60e-02_rep0.npy,0.07003489771538236,3.74,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
164,37,p03.74_v02.60e-02_rep0.npy,0.06823178226425806,3.74,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
165,7,p03.74_v03.00e-02_rep0.npy,0.06816964679294163,3.74,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
166,19,p03.74_v03.00e-02_rep0.npy,0.05444479319784376,3.74,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
167,37,p03.74_v03.00e-02_rep0.npy,0.05125674274232652,3.74,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
168,7,p03.78_v02.00e-03_rep0.npy,0.31341097783297306,3.78,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
169,19,p03.78_v02.00e-03_rep0.npy,0.33434634096920496,3.78,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
170,37,p03.78_v02.00e-03_rep0.npy,0.2411896595731378,3.78,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
171,7,p03.78_v06.00e-03_rep0.npy,0.2720745280385018,3.78,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
172,19,p03.78_v06.00e-03_rep0.npy,0.18557090726163653,3.78,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
173,37,p03.78_v06.00e-03_rep0.npy,0.1608811111913787,3.78,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
174,7,p03.78_v01.80e-02_rep0.npy,0.12511737000795065,3.78,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
175,19,p03.78_v01.80e-02_rep0.npy,0.1134477003856942,3.78,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
176,37,p03.78_v01.80e-02_rep0.npy,0.10695095047538668,3.78,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
177,7,p03.78_v01.00e-02_rep0.npy,0.2984056174755097,3.78,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
178,19,p03.78_v01.00e-02_rep0.npy,0.21669177711009988,3.78,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
179,37,p03.78_v01.00e-02_rep0.npy,0.1689151674509049,3.78,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
180,7,p03.78_v01.40e-02_rep0.npy,0.23664987208891894,3.78,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
181,19,p03.78_v01.40e-02_rep0.npy,0.2023299889905113,3.78,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
182,37,p03.78_v01.40e-02_rep0.npy,0.16084389418971787,3.78,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
183,7,p03.78_v02.60e-02_rep0.npy,0.0827028289349122,3.78,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
184,19,p03.78_v02.60e-02_rep0.npy,0.08491588943808746,3.78,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
185,37,p03.78_v02.60e-02_rep0.npy,0.08718717027698047,3.78,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
186,7,p03.78_v02.20e-02_rep0.npy,0.19213466112278715,3.78,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
187,19,p03.78_v02.20e-02_rep0.npy,0.1406485384160822,3.78,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
188,37,p03.78_v02.20e-02_rep0.npy,0.11533272167867868,3.78,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
189,7,p03.78_v03.00e-02_rep0.npy,0.10725018050935534,3.78,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
190,19,p03.78_v03.00e-02_rep0.npy,0.08119800355699328,3.78,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
191,37,p03.78_v03.00e-02_rep0.npy,0.07859420114093357,3.78,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
192,7,p03.82_v02.00e-03_rep0.npy,0.3714064368978143,3.82,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
193,19,p03.82_v02.00e-03_rep0.npy,0.3991900477558375,3.82,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
194,37,p03.82_v02.00e-03_rep0.npy,0.3686720039695502,3.82,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
195,7,p03.82_v01.00e-02_rep0.npy,0.224514588713646,3.82,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
196,19,p03.82_v01.00e-02_rep0.npy,0.2322561293840409,3.82,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
197,37,p03.82_v01.00e-02_rep0.npy,0.21356543898582464,3.82,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
198,7,p03.82_v01.40e-02_rep0.npy,0.11476279825580367,3.82,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
199,19,p03.82_v01.40e-02_rep0.npy,0.15316848852196524,3.82,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
200,37,p03.82_v01.40e-02_rep0.npy,0.1286491751670838,3.82,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
