.,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP
.,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d
Distance (um),unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized
464.25,83.63,0.81,93.86,0.81,118.09,0.95,125.53,0.95,120.22,0.91,8.41,0.61,12.73,0.45,13.74,0.40,7.88,0.09,6.04,0.07
468.03,88.37,0.86,97.94,0.85,114.95,0.92,124.57,0.95,121.91,0.93,8.50,0.62,13.77,0.50,14.38,0.42,8.52,0.11,5.66,0.06
471.80,98.25,0.95,100.95,0.87,116.83,0.94,122.58,0.93,118.82,0.90,8.56,0.63,14.81,0.55,14.30,0.42,8.36,0.10,5.15,0.05
475.58,99.75,0.97,103.56,0.90,114.44,0.92,118.46,0.90,118.89,0.90,8.91,0.66,14.41,0.53,14.09,0.41,8.76,0.11,5.07,0.05
479.35,95.98,0.93,100.12,0.87,113.03,0.91,120.08,0.91,121.41,0.92,9.68,0.74,13.92,0.50,14.34,0.42,9.23,0.12,5.46,0.06
483.12,96.10,0.93,95.48,0.82,107.52,0.86,117.82,0.89,124.74,0.95,10.50,0.82,13.37,0.48,14.05,0.41,9.26,0.13,5.55,0.06
486.90,87.21,0.84,99.08,0.86,106.03,0.85,114.16,0.86,122.47,0.93,10.52,0.82,13.70,0.50,14.29,0.42,8.73,0.11,5.73,0.06
490.67,84.59,0.82,99.62,0.86,109.89,0.88,113.84,0.86,123.32,0.94,10.99,0.86,14.40,0.53,15.45,0.47,7.73,0.09,6.17,0.07
494.45,79.17,0.77,97.06,0.84,112.41,0.90,116.71,0.88,122.11,0.93,11.66,0.93,15.21,0.56,15.56,0.47,7.34,0.08,6.35,0.08
498.22,77.75,0.75,101.93,0.88,110.06,0.88,112.81,0.85,121.66,0.92,11.47,0.91,16.21,0.61,14.84,0.44,7.37,0.08,6.91,0.09
502.00,79.16,0.77,104.47,0.90,106.09,0.85,116.01,0.87,124.04,0.94,10.16,0.78,18.29,0.70,14.19,0.42,8.37,0.10,7.14,0.10
505.77,79.02,0.77,101.62,0.88,103.49,0.83,119.20,0.90,124.18,0.94,9.26,0.70,19.46,0.75,13.77,0.40,9.25,0.13,6.77,0.09
509.55,80.21,0.78,101.47,0.88,99.11,0.79,118.95,0.90,120.36,0.91,9.74,0.74,20.34,0.79,14.21,0.42,8.57,0.11,6.43,0.08
513.32,83.87,0.81,100.67,0.87,99.54,0.79,113.86,0.86,118.62,0.90,10.35,0.80,20.42,0.80,14.78,0.44,8.39,0.10,5.81,0.07
517.09,85.23,0.83,99.31,0.86,105.60,0.85,117.83,0.89,117.69,0.89,11.29,0.89,19.78,0.77,15.05,0.45,8.33,0.10,5.67,0.06
520.87,83.79,0.81,98.35,0.85,103.02,0.82,120.33,0.91,119.59,0.91,11.05,0.87,19.14,0.74,15.10,0.45,8.65,0.11,5.38,0.05
524.64,87.40,0.85,96.81,0.84,96.43,0.77,123.40,0.94,119.11,0.90,11.65,0.93,18.04,0.69,13.79,0.40,8.90,0.12,5.13,0.05
528.42,86.92,0.84,95.45,0.82,92.16,0.73,119.61,0.90,116.96,0.88,11.98,0.96,18.07,0.69,13.08,0.37,8.97,0.12,5.08,0.05
532.19,88.03,0.85,91.54,0.79,93.92,0.75,119.38,0.90,118.83,0.90,12.42,1.00,19.39,0.75,12.31,0.34,9.08,0.12,5.26,0.05
535.97,88.11,0.85,91.82,0.79,103.53,0.83,119.76,0.91,119.00,0.90,12.05,0.96,20.44,0.80,11.68,0.32,8.25,0.10,5.04,0.05
539.74,85.21,0.83,87.97,0.76,107.09,0.86,118.28,0.89,120.36,0.91,11.42,0.90,20.25,0.79,11.01,0.29,7.27,0.08,5.32,0.05
543.52,78.47,0.76,86.09,0.74,107.31,0.86,119.10,0.90,120.39,0.91,11.75,0.94,20.14,0.79,9.95,0.25,7.23,0.07,5.74,0.06
547.29,76.32,0.74,88.65,0.76,105.40,0.84,118.91,0.90,122.59,0.93,11.35,0.90,19.08,0.74,9.76,0.24,6.99,0.07,5.87,0.07
551.06,76.56,0.74,91.40,0.79,106.65,0.85,120.56,0.91,127.54,0.97,10.73,0.84,17.92,0.69,9.59,0.24,7.28,0.08,5.63,0.06
554.84,75.73,0.73,93.00,0.80,103.10,0.82,122.51,0.93,124.38,0.95,10.00,0.77,15.68,0.58,9.63,0.24,7.76,0.09,5.47,0.06
558.61,75.72,0.73,90.93,0.78,101.62,0.81,120.57,0.91,121.17,0.92,9.50,0.72,14.95,0.55,9.34,0.23,7.67,0.09,6.04,0.07
562.39,74.16,0.72,90.90,0.78,101.64,0.81,123.92,0.94,117.48,0.89,9.34,0.70,15.61,0.58,9.31,0.22,7.12,0.07,6.35,0.08
566.16,71.47,0.69,88.70,0.77,100.74,0.80,123.18,0.93,113.82,0.86,8.80,0.65,14.84,0.55,9.49,0.23,6.80,0.06,6.29,0.08
