,frame,avg. speed,movie,plating density,replicate,time (hr),density
264,80,1.19173959259281,40000 cells B.avi,40000,B,80,546
265,90,0.9495274588092769,40000 cells B.avi,40000,B,90,754
266,100,0.7876206864895703,40000 cells B.avi,40000,B,100,810
267,110,0.6141781530728062,40000 cells B.avi,40000,B,110,650
268,120,0.4398472599797799,40000 cells B.avi,40000,B,120,703
269,130,0.3833631319506464,40000 cells B.avi,40000,B,130,725
270,140,0.2990103676722893,40000 cells B.avi,40000,B,140,657
271,150,0.4073121097415626,40000 cells B.avi,40000,B,150,520
272,0,1.1718217803072266,40000 cells C.avi,40000,C,0,262
273,10,1.1707710382972445,40000 cells C.avi,40000,C,10,180
274,20,0.8700647490394691,40000 cells C.avi,40000,C,20,241
275,30,1.2672361543075372,40000 cells C.avi,40000,C,30,340
276,40,1.1187697054420342,40000 cells C.avi,40000,C,40,452
277,50,1.1046960913425854,40000 cells C.avi,40000,C,50,541
278,60,1.4078130033776075,40000 cells C.avi,40000,C,60,676
279,70,1.1705317374948363,40000 cells C.avi,40000,C,70,442
280,80,1.071536249645214,40000 cells C.avi,40000,C,80,421
281,90,0.8140201239011257,40000 cells C.avi,40000,C,90,626
282,100,0.6519207390680725,40000 cells C.avi,40000,C,100,699
283,110,0.4908433542628036,40000 cells C.avi,40000,C,110,227
284,120,0.4098437799020999,40000 cells C.avi,40000,C,120,234
285,130,0.43804981096221135,40000 cells C.avi,40000,C,130,132
286,140,0.412681027681272,40000 cells C.avi,40000,C,140,127
287,150,0.7368467627759162,40000 cells C.avi,40000,C,150,147
288,0,1.0589698432729795,5000 cells A.avi,5000,A,0,104
289,10,1.0286918678795458,5000 cells A.avi,5000,A,10,124
290,20,0.5062253658052487,5000 cells A.avi,5000,A,20,144
291,30,0.7966406525558999,5000 cells A.avi,5000,A,30,144
292,40,1.2247849037373812,5000 cells A.avi,5000,A,40,148
293,50,1.0007038508217596,5000 cells A.avi,5000,A,50,109
294,60,1.1653406634415433,5000 cells A.avi,5000,A,60,106
295,70,0.8189726316999083,5000 cells A.avi,5000,A,70,139
296,80,1.0895501616803902,5000 cells A.avi,5000,A,80,146
297,90,1.4496349383283087,5000 cells A.avi,5000,A,90,187
298,100,1.4674291766125538,5000 cells A.avi,5000,A,100,245
299,110,1.5228295819940922,5000 cells A.avi,5000,A,110,290
300,120,1.448204391879696,5000 cells A.avi,5000,A,120,425
301,130,1.4954079865452452,5000 cells A.avi,5000,A,130,424
302,140,1.25891934743698,5000 cells A.avi,5000,A,140,400
303,150,1.0569418782787905,5000 cells A.avi,5000,A,150,520
304,0,1.1927482809705303,5000 cells B.avi,5000,B,0,111
305,10,1.4217756908388182,5000 cells B.avi,5000,B,10,100
306,20,0.8569759947997813,5000 cells B.avi,5000,B,20,106
307,30,1.068895338556176,5000 cells B.avi,5000,B,30,119
308,40,1.6726392588763852,5000 cells B.avi,5000,B,40,146
309,50,1.2041124269840984,5000 cells B.avi,5000,B,50,162
310,60,1.2913206358485303,5000 cells B.avi,5000,B,60,247
311,70,1.1618001492678374,5000 cells B.avi,5000,B,70,233
312,80,1.5352218717840609,5000 cells B.avi,5000,B,80,306
313,90,1.2790904791996762,5000 cells B.avi,5000,B,90,130
314,100,1.5762994443453957,5000 cells B.avi,5000,B,100,252
315,110,1.5210924028881323,5000 cells B.avi,5000,B,110,427
316,120,1.398847569411616,5000 cells B.avi,5000,B,120,450
317,130,1.2471365040074704,5000 cells B.avi,5000,B,130,554
318,140,1.196347079243285,5000 cells B.avi,5000,B,140,634
319,150,1.2426778539750891,5000 cells B.avi,5000,B,150,740
320,0,1.0047505198538165,80000 cells A.avi,80000,A,0,269
321,10,0.9976275222724721,80000 cells A.avi,80000,A,10,244
322,20,0.8575929060505162,80000 cells A.avi,80000,A,20,394
323,30,0.9939142230312052,80000 cells A.avi,80000,A,30,340
324,40,1.4191565210261434,80000 cells A.avi,80000,A,40,360
325,50,1.1856477865463435,80000 cells A.avi,80000,A,50,545
326,60,1.1802371786530588,80000 cells A.avi,80000,A,60,452
327,70,1.0732307713181333,80000 cells A.avi,80000,A,70,452
328,80,0.5915880477607414,80000 cells A.avi,80000,A,80,746
329,90,0.471634212554005,80000 cells A.avi,80000,A,90,637
330,100,0.5340194888624991,80000 cells A.avi,80000,A,100,746
331,110,0.4077296862962337,80000 cells A.avi,80000,A,110,673
332,120,0.4739354739555839,80000 cells A.avi,80000,A,120,730
333,130,0.3318055851103377,80000 cells A.avi,80000,A,130,586
334,140,0.3118430581269086,80000 cells A.avi,80000,A,140,545
335,150,0.30113418781483475,80000 cells A.avi,80000,A,150,740
336,0,1.3571981931488983,80000 cells B.avi,80000,B,0,293
337,10,0.9880078659478532,80000 cells B.avi,80000,B,10,267
338,20,0.981571969196312,80000 cells B.avi,80000,B,20,314
339,30,1.0987644006664803,80000 cells B.avi,80000,B,30,452
340,40,1.2599423747865035,80000 cells B.avi,80000,B,40,650
341,50,1.0319829512191738,80000 cells B.avi,80000,B,50,668
